feature,importance
lag_1h,800
hora_del_dia,627
std_movil_6h,573
hora_del_dia_cos,448
hora_del_dia_sin,422
lag_168h,300
mes_cos,254
lag_24h,233
dia_semana,228
mes,215
std_movil_12h,196
media_movil_168h,189
media_movil_24h,184
media_movil_12h,148
media_movil_6h,128
lag_48h,111
std_movil_168h,110
std_movil_24h,105
price,99
es_hora_pico_tarde,95
mes_sin,84
es_hora_pico_mañana,77
media_movil_48h,77
dia_semana_sin,70
dia_semana_cos,63
es_festivo,60
std_movil_48h,55
año,46
es_finde,3
