modelo,mae,rmse,mape,r2,tiempo_entrenamiento
Persistencia 1d,1667.9088314304902,2505.336856328709,5.605118979915122,0.5690768612137515,0.1
Persistencia 7d,1552.620047011417,2008.28664796065,5.164164222311966,0.7231025466929997,0.1
Media Móvil (72h),1398.713510185807,1839.1895963430197,4.731783135777235,0.7677688017986202,0.5
Regresión Lineal,1448.7703525423012,1980.1429725655553,4.8052447859196645,0.7308089246615157,2.0
