feature,importance
lag_1h,59.03411685884
hora_del_dia_cos,10.561675838559976
lag_168h,7.966844537664405
hora_del_dia,3.325969467939792
hora_del_dia_sin,3.2086025497197666
std_movil_6h,1.9082567679527531
es_hora_pico_mañana,1.901437305243612
lag_24h,1.7674378928816539
media_movil_12h,1.4278058425375848
media_movil_24h,1.4059995671743994
es_hora_pico_tarde,1.346817904966001
media_movil_6h,1.0005849095519572
mes_cos,0.8492807158020613
dia_semana,0.6678197851335894
media_movil_168h,0.5009271898340186
price,0.40765180648314603
dia_semana_sin,0.40397771056121495
mes,0.37331128749538817
lag_48h,0.34036444099217933
es_finde,0.33246809797851595
media_movil_48h,0.27151525601770554
dia_semana_cos,0.18790872299844955
std_movil_48h,0.17927277052207807
es_festivo,0.15230984066455683
std_movil_12h,0.1514248632136312
mes_sin,0.14783843733035204
std_movil_24h,0.11969553098713998
año,0.04132811181679215
std_movil_168h,0.017355989137310835
