modelo,mae,rmse,mape,r2,tiempo_entrenamiento
MLP (Test),271.2072918415603,352.15633864840424,0.9003636557432717,0.9914859032791081,25.721556425094604
LSTM (Test),406.4837012876924,519.8734235538157,1.3531676787653875,0.9814036881446287,173.60599422454834
CNN-LSTM (Test),304.6825863849987,397.01839864000385,1.031485102787173,0.9891544181976671,142.98959946632385
