modelo,mae,rmse,mape,r2,tiempo_entrenamiento
Random Forest (Test),343.63804907077235,461.9320391627878,1.1435780647913585,0.9853504686739245,0.653662919998169
XGBoost (Test),217.83454665813184,290.08027228610257,0.7246595256498771,0.9942229789698128,0.6431806087493896
LightGBM (Test),259.77885701687387,339.5407703240708,0.8697829031954606,0.9920849908923866,1.057034969329834
CatBoost (Test),264.4023188285147,334.96641904994635,0.8850962792134256,0.9922968190333021,0.6091299057006836
